永遠のみどり	永遠のみどり
原民喜	原民喜
梢をふり仰ぐと、嫩葉のふくらみに優しいものがチラつくようだった。	梢をふり仰ぐと、嫩葉のふくらみに優しいものがチラつくやうだつた。
樹木が、春さきの樹木の姿が、彼をかすかに慰めていた。	樹木が、春さきの樹木の姿が、彼をかすかに慰めてゐた。
吉祥寺の下宿へ移ってからは、人は稀れにしか訪ねて来なかった。	吉祥寺の下宿へ移つてからは、人は稀れにしか訪ねて来なかつた。
彼は一週間も十日も殆ど人間と会話をする機会がなかった。	彼は一週間も十日も殆ど人間と会話をする機会がなかつた。
外に出て、煙草を買うとき、「タバコを下さい」という。	外に出て、煙草を買ふとき、「タバコを下さい」といふ。
喫茶店に入って、「コーヒー」と註文する。	喫茶店に入つて、「コーヒー」と註文する。
日に言語を発するのは、二ことか三ことであった。	日に言葉を発するのは、二ことか三ことであつた。
だが、そのかわり、声にならない無数の言葉は、絶えず彼のまわりを渦巻いていた。	だが、そのかはり、声にならない無数の言葉は、絶えず彼のまはりを渦巻いてゐた。
水道道路のガード近くの叢に、白い小犬の死骸がころがっていた。	水道道路のガード近くの叢に、白い小犬の死骸がころがつてゐた。
春さきの陽を受けて安らかにのびのびと睡っているような恰好だった。	春さきの陽を受けて安らかにのびのびと睡つてゐるやうな恰好だつた。
誰にも知られず誰にも顧みられず、あのように静かに死ねるものなら……彼は散歩の途中、いつまでも野晒しになっている小さな死骸を、しみじみと眺めるのだった。	誰にも知られず誰にも顧みられず、あのやうに静かに死ねるものなら……彼は散歩の途中、いつまでも野晒しになつてゐる小さな死体を、しみじみと眺めるのだつた。
これは、彼の記憶に灼きつけられている人間の惨死図とは、まるで違う表情なのだ。	これは、彼の記憶に灼きつけられてゐる人間の惨死図とは、まるで違ふ表情なのだ。
「これからさき、これからさき、あの男はどうして生きて行くのだろう」――彼は年少の友人達にそんな噂をされていた。	「これからさき、これからさき、あの男はどうして生きて行くのだらう」――彼は年少の友人達にそんな噂をされてゐた。
それは彼が神田の出版屋の一室を立退くことになっていて、行先がまだ決まらず、一切が宙に迷っている頃のことだった。	それは彼が神田の出版屋の一室を立退くことになつてゐて、行先がまだ決まらず、一切が宙に迷つてゐる頃のことだつた。
雑誌がつぶれ、出版社が倒れ、微力な作家が葬られてゆく情勢に、みんな暗澹とした気分だった。	雑誌がつぶれ、出版社が倒れ、微力な作家が葬られてゆく情勢に、みんな暗澹とした気分だつた。
一そのこと靴磨になろうかしら、と、彼は雑沓のなかで腰を据えて働いている靴磨の姿を注意して眺めたりした。	一そのこと靴磨にならうかしら、と、彼は雑沓のなかで腰を据ゑて働いてゐる靴磨の姿を注意して眺めたりした。
「こないだの晩も電車のなかで、ＦとＮと三人で噂したのは、あなたのことです。	「こないだの晩も電車のなかで、ＦとＮと三人で噂したのは、あなたのことです。
これからさき、これからさき、どうして一たい生きて行くのでしょうか」近くフランスへ留学することに決定しているＥは、彼を顧みて云った。	これからさき、これからさき、どうして一たい生きて行くのでせうか」近くフランスへ留学することに決定してゐるＥは、彼を顧みて云つた。
その詠嘆的な心細い口調は、黙って聞いている彼の腸をよじるようであった。	その詠嘆的な心細い口調は、黙つて聞いてゐる彼の腸をよぢるやうであつた。
彼はとにかく身を置ける一つの部屋が欲しかった。	彼はとにかく身を置ける一つの部屋が欲しかつた。
荻窪の知人の世話で借れる約束になっていた部屋を、ある日、彼が確かめに行くと、話は全く喰いちがっていた。	荻窪の知人の世話で借りれる約束になつてゐた部屋を、ある日、彼が確かめに行くと、話は全く喰ひちがつてゐた。
茫然として夕ぐれの路を歩いていると、ふと、その知人と出逢った。	茫然として夕ぐれの路を歩いてゐると、ふと、その知人と出逢つた。
その足で、彼は一緒に吉祥寺の方の別の心あたりを探してもらった。	その足で、彼は一緒に吉祥寺の方の別の心あたりを探してもらつた。
そこの部屋を借りることに決めたのは、その晩だった。	そこの部屋を借りることに決めたのは、その晩だつた。
騒々しい神田の一角から、吉祥寺の下宿の二階に移ると、彼は久し振りに自分の書斎へ戻ったような気持がした。	騒々しい神田の一角から、吉祥寺の下宿の二階に移ると、彼は久振りに自分の書斎へ戻つたやうな気持がした。
静かだった。	静かだつた。
二階の窓からは竹藪や木立や家屋が、ゆったりと空間を占めて展望された。	二階の窓からは竹藪や木立や家屋が、ゆつたりと空間を占めて展望された。
ぼんやり机の前に坐っていると、彼はそこが妻と死別した家のつづきのような気持さえした。	ぼんやり机の前に坐つてゐると、彼はそこが妻と死別した家のつづきのやうな気持さへした。
五日市街道を歩けば、樹木がしきりに彼の眼についた。	五日市街道を歩けば、樹木がしきりに彼の眼についた。
