廃墟から	廃墟から
原民喜	原民喜
八幡村へ移った当初、私はまだ元気で、負傷者を車に乗せて病院へ連れて行ったり、配給ものを受取りに出歩いたり、廿日市町の長兄と連絡をとったりしていた。	八幡村へ移つた当初、私はまだ元気で、負傷者を車に乗せて病院へ連れて行つたり、配給ものを受取りに出歩いたり、廿日市町の長兄と連絡をとつたりしてゐた。
そこは農家の離れを次兄が借りたのだったが、私と妹とは避難先からつい皆と一緒に転がり込んだ形であった。	そこは農家の離れを次兄が借りたのだつたが、私と妹とは避難先からつい皆と一緒に転がり込んだ形であつた。
牛小屋の蠅は遠慮なく部屋中に群れて来た。	牛小屋の蠅は遠慮なく部屋中に群れて来た。
小さな姪の首の火傷に蠅は吸着いたまま動かない。	小さな姪の首の火傷に蠅は吸着いたまま動かない。
姪は箸を投出して火のついたように泣喚く。	姪は箸を投出して火のついたやうに泣喚く。
蠅を防ぐために昼間でも蚊帳が吊られた。	蠅を防ぐために昼間でも蚊帳が吊られた。
顔と背を火傷している次兄は陰鬱な顔をして蚊帳の中に寝転んでいた。	顔と背を火傷している次兄は陰鬱な顔をして蚊帳の中に寝転んでゐた。
庭を隔てて母屋の方の縁側に、ひどく顔の腫れ上った男の姿――そんな風な顔はもう見倦る程見せられた――が伺われたし、奥の方にはもっと重傷者がいるらしく、床がのべてあった。	庭を隔てて母屋の方の縁側に、ひどく顔の腫れ上つた男の姿――そんな風な顔はもう見倦る程見せられた――が伺はれたし、奥の方にはもつと重傷者がゐるらしく、床がのべてあつた。
夕方、その辺から妙な譫言をいう声が聞えて来た。	夕方、その辺から妙な譫言をいふ声が聞えて来た。
あれはもう死ぬるな、と私は思った。	あれはもう死ぬるな、と私は思つた。
それから間もなく、もう念仏の声がしているのであった。	それから間もなく、もう念仏の声がしてゐるのであつた。
亡くなったのは、そこの家の長女の配偶で、広島で遭難し歩いて此処まで戻って来たのだが、床に就いてから火傷の皮を無意識にひっかくと、忽ち脳症をおこしたのだそうだ。	亡くなつたのは、そこの家の長女の配偶で、広島で遭難し歩いて此処まで戻つて来たのだが、床に就いてから火傷の皮を無意識にひつかくと、忽ち脳症をおこしたのださうだ。
病院は何時行っても負傷者で立込んでいた。	病院は何時行つても負傷者で立込んでゐた。
三人掛りで運ばれて来る、全身｜硝子の破片で引裂かれている中年の婦人、――その婦人の手当には一時間も暇がかかるので、私達は昼すぎまで待たされるのであった。	三人掛りで運ばれて来る、全身硝子の破片で引裂かれてゐる中年の婦人、――その婦人の手当には一時間も暇がかかるので、私達は昼すぎまで待たされるのであつた。
――手押車で運ばれて来る、老人の重傷者、顔と手を火傷している中学生、――彼は東練兵場で遭難したのだそうだ。	――手押車で運ばれて来る、老人の重傷者、顔と手を火傷してゐる中学生――彼は東練兵場で遭難したのださうだ。
――など、何時も出喰わす顔があった。	――など、何時も出喰はす顔があつた。
小さな姪はガーゼを取替えられる時、狂気のように泣喚く。	小さな姪はガーゼを取替へられる時、狂気のやうに泣喚く。
「痛い、痛いよ、羊羹をおくれ」	「痛い、痛いよ、羊羹をおくれ」
「羊羹をくれとは困るな」と医者は苦笑した。	「羊羹をくれとは困るな」と医者は苦笑した。
診察室の隣の座敷の方には、そこにも医者の身内の遭難者が担ぎ込まれているとみえて、怪しげな断末魔のうめきを放っていた。	診察室の隣の座敷の方には、そこにも医者の身内の遭難者が担ぎ込まれてゐるとみえて、怪しげな断末魔のうめきを放つてゐた。
負傷者を運ぶ途上でも空襲警報は頻々と出たし、頭上をゆく爆音もしていた。	負傷者を運ぶ途上でも空襲警報は頻々と出たし、頭上をゆく爆音もしてゐた。
その日も、私のところの順番はなかなかやって来ないので、車を病院の玄関先に放ったまま、私は一まず家へ帰って休もうと思った。	その日も、私のところの順番はなかなかやつて来ないので、車を病院の玄関先に放つたまま、私は一まづ家へ帰つて休まうと思つた。
台所にいた妹が戻って来た私の姿を見ると、	台所にゐた妹が戻つて来た私の姿を見ると、
「さっきから『君が代』がしているのだが、どうしたのかしら」と不思議そうに訊ねるのであった。	「さつきから『君が代』がしてゐるのだが、どうしたのかしら」と不思議さうに訊ねるのであつた。
私ははっとして、母屋の方のラジオの側へつかつかと近づいて行った。	私ははつとして、母屋の方のラジオの側へつかつかと近づいて行つた。
放送の声は明確にはききとれなかったが、休戦という言葉はもう疑えなかった。	放送の声は明確にはききとれなかつたが、休戦といふ言葉はもう疑へなかつた。
