化鳥	化鳥
泉鏡花	泉鏡花
一	一	
愉快いな、愉快いな、お天気が悪くって外へ出て遊べなくっても可いや、笠を着て、蓑を着て、雨の降るなかをびしょびしょ濡れながら、橋の上を渡って行くのは猪だ。	愉快いな、愉快いな、お天気が悪くつて外へ出て遊べなくつても可や、笠を着て蓑を着て、雨の降るなかをびしよ／″＼濡れながら、橋の上を渡つて行くのは猪だ。
菅笠を目深に被って、に濡れまいと思って向風に俯向いてるから顔も見えない、着ている蓑の裙が引摺って長いから、脚も見えないで歩行いて行く、脊の高さは五尺ばかりあろうかな、猪、としては大なものよ、大方猪ン中の王様があんな三角｜形の冠を被て、市へ出て来て、そして、私の母様の橋の上を通るのであろう。	菅笠を目深に冠つてに濡れまいと思つて向風に俯向いてるから顔も見えない、着て居る蓑の裾が引摺つて長いから脚も見えないで歩行いて行く、背の高さは五尺ばかりあらうかな、猪子しては大なものよ、大方猪ン中の王様が彼様三角形の冠を被て、市へ出て来て、而して、私の母様の橋の上を通るのであらう。
トこう思って見ていると愉快い、愉快い、愉快い。	トかう思つて見て居ると愉快い、愉快い、愉快い。
寒い日の朝、雨の降ってる時、私の小さな時分、何日でしたっけ、窓から顔を出して見ていました。	寒い日の朝、雨の降つてる時、私の小さな時分、何日でしたつけ、窓から顔を出して見て居ました。
「母様、愉快いものが歩行いて行くよ。」	「母様、愉快いものが歩行いて行くよ。」
その時母様は私の手袋を拵えていて下すって、	爾時母様は私の手袋を拵えて居て下すつて、
「そうかい、何が通りました。」	「さうかい、何が通りました。」
「あのウ猪。」	「あのウ猪。」
「そう。」	「さう。」
といって笑っていらっしゃる。	といつて笑つて居らしやる。
「ありゃ猪だねえ、猪の王様だねえ。	「ありや猪だねえ、猪の王様だねえ。
母様。	母様。
だって、大いんだもの、そして三角｜形の冠を被ていました。	だつて、大いんだもの、そして三角形の冠を被て居ました。
そうだけれども、王様だけれども、雨が降るからねえ、びしょぬれになって、可哀相だったよ。」	さうだけれども、王様だけれども、雨が降るからねえ、びしよぬれになつて、可哀想だつたよ。」
母様は顔をあげて、こっちをお向きで、	母様は顔をあげて、此方をお向きで、
「吹込みますから、お前もこっちへおいで、そんなにしていると、衣服が濡れますよ。」	「吹込みますから、お前も此方へおいで、そんなにして居ると衣服が濡れますよ。」
「戸を閉めよう、母様、ね、ここん処の。」	「戸を閉めやう、母様、ね、こゝん処の。」
「いいえ、そうしてあけておかないと、お客様が通っても橋銭を置いて行ってくれません。	「いゝえ、さうしてあけて置かないと、お客様が通つても橋銭を置いて行つてくれません。
ずるいからね、引籠って誰も見ていないと、そそくさ通抜けてしまいますもの。」	づるいからね、引籠つて誰も見て居ないと、そゝくさ通抜けてしまひますもの。」
私はその時分は何にも知らないでいたけれども、母様と二人ぐらしは、この橋銭で立って行ったので、一人前いくらかずつ取って渡しました。	私は其時分は何にも知らないで居たけれども、母様と二人ぐらしは、この橋銭で立つて行つたので、一人前幾于宛取つて渡しました。
橋のあったのは、市を少し離れた処で、堤防に松の木が並んで植っていて、橋の袂に榎が一本、時雨榎とかいうのであった。	橋のあつたのは、市を少し離れた処で、堤防に松の木が並むで植はつて居て、橋の袂に榎の樹が一本、時雨榎とかいふのであつた。
この榎の下に、箱のような、小さな、番小屋を建てて、そこに母様と二人で住んでいたので、橋は粗造な、まるで、間に合せといったような拵え方、杭の上へ板を渡して竹を欄干にしたばかりのもので、それでも五人や十人ぐらい一時に渡ったからッて、少し揺れはしようけれど、折れて落ちるような憂慮はないのであった。	此榎の下に箱のやうな、小さな、番小屋を建てゝ、其処に母様と二人で住んで居たので、橋は粗造な、宛然、間に合はせといつたやうな拵え方、杭の上へ板を渡して竹を欄干にしたばかりのもので、それでも五人や十人ぐらゐ一時に渡つたからツて、少し揺れはしやうけれど、折れて落つるやうな憂慮はないのであつた。
ちょうど市の場末に住んでる日傭取、土方、人足、それから、三味線を弾いたり、太鼓を鳴して飴を売ったりする者、越後獅子やら、猿廻やら、附木を売る者だの、唄を謡うものだの、元結よりだの、早附木の箱を内職にするものなんぞが、目貫の市へ出て行く往帰りには、是非｜母様の橋を通らなければならないので、百人と二百人ずつ朝晩｜賑かな人通りがある。	ちやうど市の場末に住むでる日傭取、土方、人足、それから、三味線を弾いたり、太鼓を鳴らして飴を売つたりする者、越後獅子やら、猿廻やら、附木を売る者だの、唄を謡ふものだの、元結よりだの、早附木の箱を内職にするものなんぞが、目貫の市へ出て行く往帰りには、是非母様の橋を通らなければならないので、百人と二百人づゝ朝晩賑な人通りがある。
それからまた向うから渡って来て、この橋を越して場末の穢い町を通り過ぎると、野原へ出る。	それからまた向ふから渡つて来てこの橋を越して場末の穢い町を通り過ぎると、野原へ出る。
そこン処は梅林で、上の山が桜の名所で、その下に桃谷というのがあって、谷間の小流には、菖蒲、燕子花が一杯咲く。	そこン処は梅林で上の山が桜の名所で、其下に桃谷といふのがあつて、谷間の小流には、菖浦、燕子花が一杯咲く。
頬白、山雀、雲雀などが、ばらばらになって唄っているから、綺麗な着物を着た間屋の女だの、金満家の隠居だの、瓢を腰へ提げたり、花の枝をかついだりして千鳥足で通るのがある。それは春のことで。	頬白、山雀、雲雀などが、ばら／＼になつて唄つて居るから、綺麗な着物を着た問屋の女だの、金満家の隠居だの、瓢を腰へ提げたり、花の枝をかついだりして千鳥足で通るのがある、それは春のことで。
夏になると納涼だといって人が出る。	夏になると納涼だといつて人が出る、
秋は蕈狩に出懸けて来る、遊山をするのが、皆内の橋を通らねばならない。	秋は茸狩に出懸けて来る、遊山をするのが、皆内の橋を通らねばならない。
この間も誰かと二三人づれで、学校のお師匠さんが、内の前を通って、私の顔を見たから、丁寧にお辞儀をすると、おや、といったきりで、橋銭を置かないで行ってしまった。	この間も誰かと二三｜人づれで、学校のお師匠さんが、内の前を通つて、私の顔を見たから、丁寧にお辞義をすると、おや、といつたきりで、橋銭を置かないで行つてしまつた。
「ねえ、母様、先生もずるい人なんかねえ。」	「ねえ、母様、先生もづるい人なんかねえ。」
と窓から顔を引込ませた。	と窓から顔を引込ませた。
二	第二
「お心易立なんでしょう、でもずるいんだよ。	「お心易立なんでしやう、でもづるいんだよ。
よっぽどそういおうかと思ったけれど、先生だというから、また、そんなことで悪く取って、お前が憎まれでもしちゃなるまいと思って、黙っていました。」	余程さういはうかと思つたけれど、先生だといふから、また、そんなことで悪く取つて、お前が憎まれでもしちやなるまいと思つて黙つて居ました。」
といいいい母様は縫っていらっしゃる。	といひ／＼母様は縫つて居らつしやる。
お膝の上に落ちていた、一ツの方の手袋の、恰好が出来たのを、私は手に取って、掌にあててみたり、甲の上へ乗ッけてみたり、	お膝の前に落ちて居た、一ツの方の手袋の格恰が出来たのを、私は手に取つて、掌にあてゝ見たり、甲の上へ乗ツけて見たり、
「母様、先生はね、それでなくっても僕のことを可愛がっちゃあ下さらないの。」	「母様、先生はね、それでなくつても僕のことを可愛がつちやあ下さらないの。」
と訴えるようにいいました。	と訴へるやうにいひました。
こういった時に、学校で何だか知らないけれど、私がものをいっても、快く返事をおしでなかったり、拗ねたような、けんどんなような、おもしろくない言をおかけであるのを、いつでも情ないと思い思いしていたのを考え出して、少し鬱いで来て俯向いた。	かういつた時に、学校で何だか知らないけれど、私がものをいつても、快く返事をおしでなかつたり、拗ねたやうな、けんどんなやうな、おもしろくない言をおかけであるのを、いつでも情いと思ひ／＼して居たのを考へ出して、少し欝いで来て俯向いた。
「なぜさ。」	「何故さ。」
何、そういう様子の見えるのは、つい四五日前からで、その前にはちっともこんなことはありはしなかった。	何、さういふ様子の見えるのは、つひ四五日前からで、其前には些少もこんなことはありはしなかつた。
帰って母様にそういって、なぜだか聞いてみようと思ったんだ。	帰つて母様にさういつて、何故だか聞いて見やうと思つたんだ。
けれど、番小屋へ入ると直飛出して遊んであるいて、帰ると、御飯を食べて、そしちゃあ横になって、母様の気高い美しい、頼母しい、穏当な、そして少し痩せておいでの、髪を束ねてしっとりしていらっしゃる顔を見て、何か談話をしいしい、ぱっちりと眼をあいてるつもりなのが、いつか、そのまんまで寝てしまって、眼がさめると、また直支度を済して、学校へ行くんだもの。	けれど、番小屋へ入ると直飛出して遊んであるいて、帰ると、御飯を食べて、そしちやあ横になつて、母様の気高い美しい、頼母しい、温当な、そして少し痩せておいでの、髪を束ねてしつとりして居らつしやる顔を見て、何か談話をしい／＼、ぱつちりと眼をあいてるつもりなのが、いつか其まんまで寝てしまつて、眼がさめると、また直支度を済まして、学校へ行くんだもの。
そんなこといってる隙がなかったのが、雨で閉籠って、淋しいので思い出した、ついでだから聞いたので。	そんなこといつてる隙がなかつたのが、雨で閉籠つて淋しいので思ひ出した序だから聞いたので、
