猿面冠者	猿面冠者
太宰治	太宰治
どんな小説を読ませても、はじめの二三行をはしり読みしたばかりで、もうその小説の楽屋裏を見抜いてしまったかのように、鼻で笑って巻を閉じる傲岸不遜の男がいた。	どんな小説を讀ませても、はじめの二三行をはしり讀みしたばかりで、もうその小説の樂屋裏を見拔いてしまつたかのやうに、鼻で笑つて卷を閉ぢる傲岸不遜の男がゐた。
ここに露西亜の詩人の言葉がある。	ここに露西亞の詩人の言葉がある。
「そもさん何者。	「そもさん何者。
されば、わずかにまねごと師。	されば、わづかにまねごと師。
気にするがものもない幽霊か。	氣にするがものもない幽靈か。
ハロルドのマント羽織った莫斯科ッ子。	ハロルドのマント羽織つた莫斯科ツ子。
他人の癖の飜案か。	他人の癖の飜案か。
はやり言葉の辞書なのか。	はやり言葉の辭書なのか。
いやさて、もじり言葉の詩とでもいったところじゃないかよ」いずれそんなところかも知れぬ。	いやさて、もぢり言葉の詩とでもいつたところぢやないかよ。」いづれそんなところかも知れぬ。
この男は、自分では、すこし詩やら小説やらを読みすぎたと思って悔いている。	この男は、自分では、すこし詩やら小説やらを讀みすぎたと思つて悔いてゐる。
この男は、思案するときにでも言葉をえらんで考えるのだそうである。	この男は、思案するときにでも言葉をえらんで考へるのださうである。
心のなかで自分のことを、彼、と呼んでいる。	心のなかで自分のことを、彼、と呼んでゐる。
酒に酔いしれて、ほとんど我をうしなっているように見えるときでも、もし誰かに殴られたなら、落ちついて呟く。	酒に醉ひしれて、ほとんど我をうしなつてゐるやうに見えるときでも、もし誰かに毆られたなら、落ちついて呟く。
「あなた、後悔しないように」ムイシュキン公爵の言葉である。	「あなた、後悔しないやうに。」ムイシユキン公爵の言葉である。
恋を失ったときには、どう言うであろう。	戀を失つたときには、どう言ふであらう。
そのときには、口に出しては言わぬ。	そのときには、口に出しては言はぬ。
胸のなかを駈けめぐる言葉。	胸のなかを駈けめぐる言葉。
「だまって居れば名を呼ぶし、近寄って行けば逃げ去るのだ」これはメリメのつつましい述懐ではなかったか。	「だまつて居れば名を呼ぶし、近寄つて行けば逃げ去るのだ。」これはメリメのつつましい述懷ではなかつたか。
夜、寝床にもぐってから眠るまで、彼は、まだ書かぬ彼の傑作の妄想にさいなまれる。	夜、寢床にもぐつてから眠るまで、彼は、まだ書かぬ彼の傑作の妄想にさいなまれる。
そのときには、ひくくこう叫ぶ。	そのときには、ひくくかう叫ぶ。
「放してくれ！」	「放してくれ！」
これはこれ、芸術家のコンフィテオール。	これはこれ、藝術家のコンフイテオール。
それでは、ひとりで何もせずにぼんやりしているときには、どうであろう。	それでは、ひとりで何もせずにぼんやりしてゐるときには、どうであらう。
口をついて出るというのである、“Nevermore”という独白が。	口をついて出るといふのである、“Nevermore”といふ獨白が。
そのような文学の糞から生れたような男が、もし小説を書いたとしたなら、いったいどんなものができるだろう。	そのやうな文學の糞から生れたやうな男が、もし小説を書いたとしたなら、いつたいどんなものができるだらう。
だいいちに考えられることは、その男は、きっと小説を書けないだろうと言うことである。	だいいちに考へられることは、その男は、きつと小説を書けないだらうと言ふことである。
一行書いては消し、いや、その一行も書けぬだろう。	一行書いては消し、いや、その一行も書けぬだらう。
彼には、いけない癖があって、筆をとるまえに、もうその小説に謂わばおしまいの磨きまでかけてしまうらしいのである。	彼には、いけない癖があつて、筆をとるまへに、もうその小説に謂はばおしまひの磨きまでかけてしまふらしいのである。
